X,Y
0.0,13.5
6.0,13.506
12.0,13.524
18.0,13.554
24.0,13.596
30.0,13.65
36.0,13.76049
42.0,13.97196
48.0,14.28441
54.0,14.69784
60.0,15.21225
66.0,15.82764
72.0,16.54401
78.0,17.36136
84.0,18.2463227273
90.0,19.0904545455
96.0,19.8854136364
102.0,20.6312
108.0,21.3278136364
114.0,21.9752545455
120.0,22.5735227273
126.0,23.1226181818
132.0,23.6225409091
138.0,24.0732909091
144.0,24.4748681818
150.0,24.8272727273
156.0,25.1305045455
162.0,25.3845636364
168.0,25.58945
174.0,25.7451636364
180.0,25.8517045455
186.0,25.9090727273
192.0,25.92
1015.0,25.92
4215.0,25.92
4227.0,25.9272
4239.0,25.9488
4251.0,25.9848
4263.0,26.0352
4275.0,26.1
4287.0,26.1792
4299.0,26.2728
4311.0,26.3808
4323.0,26.5032
4335.0,26.64
4347.0,26.7912
4359.0,26.9568
4371.0,27.1368
4383.0,27.3312
4395.0,27.54
4407.0,27.7632
4419.0,28.0008
4431.0,28.2528
4443.0,28.5192
4455.0,28.8
4467.0,29.0952
4479.0,29.4048
4491.0,29.7288
4503.0,30.0672
4515.0,30.42
4527.0,30.7878217737
4539.0,31.1712870947
4551.0,31.570395963
4563.0,31.9851483786
4575.0,32.4155443416
4587.0,32.8615838519
4599.0,33.3232669095
4611.0,33.8005935144
4623.0,34.2935636667
4635.0,34.8021773663
4647.0,35.3264346132
4659.0,35.8663354074
4671.0,36.421879749
4683.0,36.9930676379
4695.0,37.5798990741
4707.0,38.1823740577
4719.0,38.8004925885
4731.0,39.4342546667
4743.0,40.0836602922
4755.0,40.7487094651
4767.0,41.4294021853
4779.0,42.1257384528
4791.0,42.8377182676
4803.0,43.5653416297
4815.0,44.3086085392
4827.0,45.067518996
4839.0,45.8420730001
4851.0,46.6322705516
4863.0,47.4381116504
4875.0,48.2595962965
4887.0,49.0967244899
4899.0,49.9494962306
4911.0,50.8179115187
4923.0,51.7019703541
4935.0,52.6016727368
4947.0,53.5170186669
4959.0,54.4480081443
4971.0,55.394641169
4983.0,56.356917741
4995.0,57.3348378604
5007.0,58.3284015271
5019.0,59.3376087411
5031.0,60.3624595024
5043.0,61.402953811
5055.0,62.459091667
5067.0,63.5308730703
5079.0,64.618298021
5091.0,65.7213665189
5103.0,66.8400785642
5115.0,67.9744341568
5127.0,69.1244332968
5139.0,70.290075984
5151.0,71.4713622186
5163.0,72.6682920005
5175.0,73.8808653298
5187.0,75.1090822063
5199.0,76.3529426302
5211.0,77.6124466014
5223.0,78.88759412
5235.0,80.1783851858
5247.0,81.484819799
5259.0,82.8068979595
5271.0,84.1446196674
5283.0,85.4979849226
5295.0,86.866993725
5307.0,88.2516460749
5319.0,89.651941972
5331.0,91.0678814165
5343.0,92.4994644083
5355.0,93.9466909474
5367.0,95.4095610338
5379.0,96.8880746676
5391.0,98.3822318487
5403.0,99.8920325771
5415.0,101.4174768529
5427.0,102.9585646759
5439.0,104.5152960463
5451.0,106.0876709641
5463.0,107.6756894291
5475.0,109.2793514415
5487.0,110.8986570012
5499.0,112.5336061082
5511.0,114.1841987626
5523.0,115.8504349642
5535.0,117.5323147132
5547.0,119.2298380096
5559.0,120.9430048532
5571.0,122.6718152442
5583.0,124.4162691825
5595.0,126.1763666681
5607.0,127.9521077011
5619.0,129.7434922814
5631.0,131.550520409
5643.0,133.3731920839
5655.0,135.2115073062
5667.0,137.0654660757
5679.0,138.9350683926
5691.0,140.8203142569
5703.0,142.7212036684
5715.0,144.6377366273
5727.0,146.5699131335
5739.0,148.5177331871
5751.0,150.4811967879
5763.0,152.4603039361
5775.0,154.4550546316
5787.0,156.4654488745
5799.0,158.4914866646
5811.0,160.5331680021
5823.0,162.5749210751
5835.0,164.566137495
5847.0,166.5029243089
5859.0,168.3852815168
5871.0,170.2132091186
5883.0,171.9867071145
5895.0,173.7057755044
5907.0,175.3704142882
5919.0,176.980623466
5931.0,178.5364030379
5943.0,180.0377530037
5955.0,181.4846733635
5967.0,182.8771641173
5979.0,184.215225265
5991.0,185.4988568068
6003.0,186.7280587426
6015.0,187.9028310723
6027.0,189.023173796
6039.0,190.0890869138
6051.0,191.1005704255
6063.0,192.0576243312
6075.0,192.9602486309
6087.0,193.8084433245
6099.0,194.6022084122
6111.0,195.3415438938
6123.0,196.0264497695
6135.0,196.6569260391
6147.0,197.2329727027
6159.0,197.7545897603
6171.0,198.2217772119
6183.0,198.6345350575
6195.0,198.9928632971
6207.0,199.2967619307
6219.0,199.5462309582
6231.0,199.7412703798
6243.0,199.8818801953
6255.0,199.9680604048
6268.0,200.0
6318.0,200.0
,
,
